"id","name","journal_id:id","account_asset_id:id","account_depreciation_id:id","account_expense_depreciation_id:id","improvement_journal_id:id","impairment_journal_id:id","impairment_account_id:id","impairment_expense_account_id:id","impairment_reversal_account_id:id","method_time","method_number","method_period","method","method_progress_factor","prorata","date_min_prorate","sequence_id:id","asset_cancel_group_ids:id","asset_cancel_group_ids:id"
"kategori_aset_108","Air Coditioner (AC), termasuk Compressornya","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_13","group_pat_validator","group_pat_validator"
"kategori_aset_109","Kipas Angin","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_13","group_pat_validator","group_pat_validator"
"kategori_aset_110","Exhaust (Pembuagan Uap)","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_13","group_pat_validator","group_pat_validator"
"kategori_aset_111","Blower Blade Center","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_13","group_pat_validator","group_pat_validator"
"kategori_aset_112","Mesin pembasmi virus, bakteri dan jamur (Hysafe Air)","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_13","group_pat_validator","group_pat_validator"
"kategori_aset_113","Mesin pengatur kelembaban udara indoor (Air Purifier)","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_13","group_pat_validator","group_pat_validator"
"kategori_aset_114","Brankas","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_13","group_pat_validator","group_pat_validator"
"kategori_aset_115","Filling Kabinet ","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_13","group_pat_validator","group_pat_validator"
"kategori_aset_116","Cash Box","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_13","group_pat_validator","group_pat_validator"
"kategori_aset_117","Alat Pemadam/ Hydrant","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_13","group_pat_validator","group_pat_validator"
"kategori_aset_118","Fire Alarm System","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_13","group_pat_validator","group_pat_validator"
"kategori_aset_119","Mesin Genset (termasuk : Travo Listrik, Travo Las Inverter)","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_13","group_pat_validator","group_pat_validator"
